pid,median_cpu_percent,quadratic_deviation,ram_usage,median_network_rate,Number of crypto API calls,Cryptojacker or not
246,60.6,15.182597531308904,386.00390625,676.0,0.0,no
252,78.6,18.08351105633435,489.296875,114.0,0.0,no
223,44.125,0.9281835238674,34.203125,4871.0,5.0,no
355,0.275,0.122370298,25.76953125,8048.0,3.0,no
148,48.91875,10.39556577,2090.21875,586.0,3.0,yes
133,10.8875,7.681973186,713.5078125,921.0,2.0,yes
241,62.2875,16.278947485504926,383.0859375,676.0,0.0,no
352,5.18125,3.443460271,46.921875,5313.0,3.0,no
68,24.8,1.697742342,2363.410156,603.0,5.0,yes
96,87.3375,11.95263666,2351.519531,719.0,5.0,yes
90,87.5375,11.69994854,2351.519531,719.0,5.0,yes
222,39.96875,1.5420252257584417,26.2109375,163038.0,5.0,no
118,80.125,10.27469558,2362.898438,484.0,5.0,yes
167,87.1,19.38910312,2362.910156,60.0,5.0,yes
152,19.85625,5.31875,464.1171875,9306.0,5.0,yes
368,0.0,0.0,126.3945313,0.0,2.0,no
154,25.175,3.72857827,1056.222656,9306.0,5.0,yes
360,2.10625,0.992908886,93.3828125,0.0,5.0,no
99,85.875,20.24686442,2362.910156,60.0,5.0,yes
139,83.15,6.468679316,2363.414063,753.0,5.0,yes
247,61.29375,15.029843511748693,384.87890625,676.0,0.0,no
137,82.9,6.691805607,2363.414063,753.0,5.0,yes
174,78.925,15.35333548,2362.90625,484.0,5.0,yes
85,87.6375,11.48796306,2351.519531,719.0,5.0,yes
388,9.9125,4.197765584,326.3007813,0.0,0.0,no
347,7.30625,3.444233304,44.51953125,0.0,3.0,no
37,87.3125,4.218676554,2366.261719,579.0,5.0,yes
202,49.0625,12.16628778,2354.832031,840.0,3.0,yes
145,49.24375,13.04411892,2355.882813,840.0,3.0,yes
64,24.575,6.522546241,2357.15625,394.0,5.0,yes
236,59.575,18.249958593703,327.60546875,171.0,0.0,no
171,84.9125,15.25625682,2362.910156,60.0,5.0,yes
28,87.8625,2.926655097,2366.277344,581.0,5.0,yes
98,85.925,20.86850947,2362.910156,60.0,5.0,yes
381,0.90625,0.452116934,31.4921875,121.0,2.0,no
105,86.725,21.42140043,2354.050781,0.0,5.0,yes
253,79.41874999999999,17.991806009959113,623.57421875,144.0,0.0,no
14,88.0,2.226504485,2366.277344,540.0,5.0,yes
182,46.85,10.63433447,2355.929688,840.0,3.0,yes
10,86.8625,20.79350496,2366.308594,525.0,5.0,yes
335,42.05,8.826972791,1725.910156,0.0,0.0,no
52,87.075,18.95643285,2359.234375,434.0,5.0,yes
31,88.85,3.241833977,2366.230469,581.0,5.0,yes
363,1.41875,0.673171391,18.34375,0.0,1.0,no
39,84.975,22.04245794,2366.328125,579.0,5.0,yes
157,25.0875,2.758607811,2359.953125,4953.5,5.0,yes
390,0.775,0.330002894,32.16015625,597976.0,0.0,no
136,83.275,3.51442272,2363.441406,753.0,5.0,yes
210,7.225,2.2393467797552096,415.390625,49130.0,5.0,no
194,12.8375,5.28508469,872.2109375,301.5,3.0,yes
184,47.1,10.30414499,2355.898438,840.0,3.0,yes
49,86.275,20.04740875,2359.226563,115.0,5.0,yes
207,7.275,3.285406758598461,4881.8828125,0.0,0.0,no
130,54.1625,12.86754805,2362.957031,591.5,5.0,yes
370,0.225,0.106066017,94.16796875,372.0,5.0,no
177,77.925,13.41616856,2362.90625,753.0,5.0,yes
353,6.075,2.094405357,44.82421875,0.0,3.0,no
346,9.3375,4.402922798,89.25,0.0,2.0,no
300,0.7875,0.305953105,32.2265625,633072.5,2.0,no
287,2.8375,0.779551726,300.9257813,0.0,2.0,no
106,86.525,20.80631818,2354.046875,0.0,5.0,yes
322,3.65,0.18125,187.3671875,1532602.0,2.0,no
83,87.6625,11.35623785,2351.519531,719.0,5.0,yes
101,85.6375,19.1558979,2362.910156,272.0,5.0,yes
265,62.2875,16.278947485504926,383.0859375,676.0,0.0,no
273,13.13125,4.375219232788335,539.98046875,0.0,5.0,no
47,85.725,20.76716887,2359.242188,0.0,5.0,yes
389,5.5875,2.192770189,45.68359375,0.0,0.0,no
201,49.025,11.80429733,2354.832031,840.0,3.0,yes
9,86.825,21.14780614,2366.355469,525.0,5.0,yes
188,47.6625,7.545135813,2355.429688,813.0,3.0,yes
113,85.95,17.76669891,2362.871094,0.0,5.0,yes
92,87.4875,11.76843558,2351.519531,719.0,5.0,yes
332,43.4625,4.457404931,2153.054688,0.0,0.0,no
143,83.175,5.922357793,2363.414063,753.0,5.0,yes
104,80.475,12.39868697,2362.882813,299.5,5.0,yes
178,77.9375,12.87619934,2362.90625,484.0,5.0,yes
344,0.11875,0.081248578,93.82421875,1008.0,5.0,no
219,0.3,0.1025623281,284.3789063,3574.0,0.0,no
313,26.51875,32.85034616,274.2109375,333.5,2.0,no
228,78.6,18.08351105633435,489.296875,114.0,0.0,no
371,0.0,0.0,147.5039063,0.0,2.0,no
297,2.90625,0.877477308,300.890625,0.0,1.0,no
15,88.025,2.680131159,2366.277344,532.5,5.0,yes
69,24.8,1.692123018,2363.410156,603.0,5.0,yes
142,83.2,5.984137777,2363.414063,753.0,5.0,yes
230,80.2375,17.90878864172297,547.88671875,174.0,0.0,no
112,71.725,12.26511743,2090.03125,753.0,5.0,yes
314,55.625,36.26112191,262.3984375,546.0,2.0,no
272,12.0,4.409745092351015,530.2578125,0.0,5.0,no
11,86.9,20.45282649,2366.308594,525.0,5.0,yes
204,44.1,11.42156464,2354.824219,840.0,3.0,yes
147,47.89375,7.262341244,2355.425781,840.0,3.0,yes
391,2.0125,0.750014468,28.234375,0.0,0.0,no
53,20.9125,9.85829459,2352.222656,841.5,5.0,yes
278,9.9625,0.49943755,90.0625,0.0,2.0,no
385,1.6625,0.675864155,57.27734375,0.0,0.0,no
238,59.575,17.487007352213325,336.3359375,228.0,0.0,no
270,60.6,15.182597531308904,386.00390625,676.0,0.0,no
245,59.7875,15.309250683818584,348.171875,676.0,0.0,no
18,88.05,5.045192577,2366.207031,559.5,5.0,yes
25,88.775,3.923908064,2366.265625,579.0,5.0,yes
77,23.775,5.59292658,2358.234375,601.0,5.0,yes
192,43.76875,6.492860404,2089.234375,511.5,3.0,yes
36,87.025,4.095596948,2366.261719,579.0,5.0,yes
63,24.8,2.059274363,2357.109375,448.0,5.0,yes
158,25.125,2.082120446,2359.976563,601.0,5.0,yes
12,86.975,20.08738527,2366.308594,525.0,5.0,yes
319,9.9625,0.4994375499,90.0625,0.0,2.0,no
84,87.65,11.4357055,2351.519531,719.0,5.0,yes
206,8.134374999999999,2.6094598058592613,274.6171875,0.0,5.0,no
27,87.3,2.655997406,2366.277344,581.0,5.0,yes
165,20.175,4.283339208,2358.875,458.0,5.0,yes
354,0.75625,0.267662131,17.40234375,0.0,3.0,no
393,2.0125,0.871438063,28.234375,0.0,0.0,no
277,11.775,0.48529707,91.98828125,0.0,2.0,no
41,85.025,20.93552952,2366.226563,579.0,5.0,yes
38,84.9,22.6835666,2366.328125,579.0,5.0,yes
66,24.8,1.695393174,2363.410156,603.0,5.0,yes
100,85.825,19.6804299,2362.910156,272.0,5.0,yes
365,0.90625,0.452116934,31.4921875,121.0,2.0,no
50,86.5,19.57269557,2359.226563,115.0,5.0,yes
341,11.8125,0.588955535,347.25,832628.0,5.0,no
375,3.2125,1.522105632,297.8789063,0.0,5.0,no
310,5.6625,0.874029444,187.7304688,2093644.0,2.0,no
97,86.025,21.55270182,2362.910156,57.5,5.0,yes
